,cname,iso3,year,cckp_temp
14400,Uzbekistan,UZB,1962,
14401,Uzbekistan,UZB,1963,
14402,Uzbekistan,UZB,1964,
14403,Uzbekistan,UZB,1965,
14404,Uzbekistan,UZB,1966,
14405,Uzbekistan,UZB,1967,
14406,Uzbekistan,UZB,1968,
14407,Uzbekistan,UZB,1969,
14408,Uzbekistan,UZB,1970,
14409,Uzbekistan,UZB,1971,
14410,Uzbekistan,UZB,1972,
14411,Uzbekistan,UZB,1973,
14412,Uzbekistan,UZB,1974,
14413,Uzbekistan,UZB,1975,
14414,Uzbekistan,UZB,1976,
14415,Uzbekistan,UZB,1977,
14416,Uzbekistan,UZB,1978,
14417,Uzbekistan,UZB,1979,
14418,Uzbekistan,UZB,1980,
14419,Uzbekistan,UZB,1981,
14420,Uzbekistan,UZB,1982,
14421,Uzbekistan,UZB,1983,
14422,Uzbekistan,UZB,1984,
14423,Uzbekistan,UZB,1985,
14424,Uzbekistan,UZB,1986,
14425,Uzbekistan,UZB,1987,
14426,Uzbekistan,UZB,1988,
14427,Uzbekistan,UZB,1989,
14428,Uzbekistan,UZB,1990,
14429,Uzbekistan,UZB,1991,
14430,Uzbekistan,UZB,1992,12.3166666666667
14431,Uzbekistan,UZB,1993,11.7666666666667
14432,Uzbekistan,UZB,1994,12.1333333333333
14433,Uzbekistan,UZB,1995,13.6833333333333
14434,Uzbekistan,UZB,1996,12.125
14435,Uzbekistan,UZB,1997,13.2666666666667
14436,Uzbekistan,UZB,1998,12.8416666666667
14437,Uzbekistan,UZB,1999,13.775
14438,Uzbekistan,UZB,2000,13.675
14439,Uzbekistan,UZB,2001,13.65
14440,Uzbekistan,UZB,2002,13.65
14441,Uzbekistan,UZB,2003,12.8833333333333
14442,Uzbekistan,UZB,2004,14.2916666666667
14443,Uzbekistan,UZB,2005,13.825
14444,Uzbekistan,UZB,2006,13.55
14445,Uzbekistan,UZB,2007,13.7583333333333
14446,Uzbekistan,UZB,2008,13.1
14447,Uzbekistan,UZB,2009,13.3916666666667
14448,Uzbekistan,UZB,2010,14.1
14449,Uzbekistan,UZB,2011,12.8416666666667
14450,Uzbekistan,UZB,2012,12.8666666666667
14451,Uzbekistan,UZB,2013,14.1666666666667
14452,Uzbekistan,UZB,2014,12.5916666666667
14453,Uzbekistan,UZB,2015,13.9416666666667
14454,Uzbekistan,UZB,2016,14.3083333333333
14455,Uzbekistan,UZB,2017,13.6166666666667
14456,Uzbekistan,UZB,2018,13.45
14457,Uzbekistan,UZB,2019,14.2
14458,Uzbekistan,UZB,2020,13.5666666666667
14459,"Venezuela, Bolivarian Republic of",VEN,1946,25.225
14460,"Venezuela, Bolivarian Republic of",VEN,1947,25.6083333333333
14461,"Venezuela, Bolivarian Republic of",VEN,1948,25.2166666666667
14462,"Venezuela, Bolivarian Republic of",VEN,1949,25.0333333333333
14463,"Venezuela, Bolivarian Republic of",VEN,1950,24.6916666666667
14464,"Venezuela, Bolivarian Republic of",VEN,1951,25.3416666666667
14465,"Venezuela, Bolivarian Republic of",VEN,1952,25.55
14466,"Venezuela, Bolivarian Republic of",VEN,1953,25.4083333333333
14467,"Venezuela, Bolivarian Republic of",VEN,1954,25.0083333333333
14468,"Venezuela, Bolivarian Republic of",VEN,1955,24.9166666666667
14469,"Venezuela, Bolivarian Republic of",VEN,1956,24.9166666666667
14470,"Venezuela, Bolivarian Republic of",VEN,1957,25.3333333333333
14471,"Venezuela, Bolivarian Republic of",VEN,1958,25.9166666666667
14472,"Venezuela, Bolivarian Republic of",VEN,1959,25.4333333333333
14473,"Venezuela, Bolivarian Republic of",VEN,1960,25.4333333333333
14474,"Venezuela, Bolivarian Republic of",VEN,1961,25.425
